epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.6119682192802429,0.6600450873374939,0.0010000000474974513,0.7789493799209595,0.6078799366950989,0.6113207340240479,0.635343611240387,0.6920994520187378,0.7297216057777405,0.6929460763931274,0.4730878174304962
1,0.6643291115760803,0.7284929156303406,0.0010000000474974513,0.6674585938453674,0.6634799242019653,0.654716968536377,0.6647966504096985,0.7284977436065674,0.6552167534828186,0.6838709712028503,0.600566565990448
2,0.6699392199516296,0.7355382442474365,0.0010000000474974513,0.6532437801361084,0.660909116268158,0.6858490705490112,0.6928471326828003,0.7524826526641846,0.6347991228103638,0.6801075339317322,0.7167139053344727
3,0.6778868436813354,0.7498898506164551,0.0010000000474974513,0.6322454214096069,0.6738519072532654,0.6783018708229065,0.6928471326828003,0.7608278393745422,0.6252564191818237,0.7106918096542358,0.6402266025543213
4,0.6914445757865906,0.767902672290802,0.0010000000474974513,0.6154208779335022,0.6855287551879883,0.697169840335846,0.7054698467254639,0.7721474766731262,0.6269716620445251,0.6783042550086975,0.7705382704734802
0,0.710612416267395,0.776821494102478,9.999999747378752e-06,0.6028746962547302,0.6903520226478577,0.7494692206382751,0.7180925607681274,0.7795089483261108,0.6205522418022156,0.7602739930152893,0.6288951635360718
1,0.7087423801422119,0.7842403054237366,9.999999747378752e-06,0.5953965783119202,0.6970243453979492,0.7292453050613403,0.6760168075561523,0.7819995284080505,0.6747423410415649,0.801980197429657,0.4589235186576843
2,0.7204301357269287,0.8021420240402222,9.999999747378752e-06,0.5778855681419373,0.7051509618759155,0.7490565776824951,0.7040673494338989,0.7828297019004822,0.6102738380432129,0.7517730593681335,0.600566565990448
3,0.7554932236671448,0.8312702178955078,9.999999747378752e-06,0.5417499542236328,0.7474654316902161,0.7650943398475647,0.7138850092887878,0.7992721199989319,0.6291627883911133,0.8040816187858582,0.5580736398696899
4,0.7611033320426941,0.8463212847709656,9.999999747378752e-06,0.5210283994674683,0.7497725486755371,0.7773584723472595,0.7026647925376892,0.7885308265686035,0.63360995054245,0.7949790954589844,0.5382436513900757
5,0.7545582056045532,0.8367732763290405,9.999999747378752e-06,0.5337734818458557,0.7488372325897217,0.7594339847564697,0.7279102206230164,0.80228590965271,0.5965383052825928,0.7606557607650757,0.6572238206863403
6,0.770920991897583,0.8514801859855652,9.999999747378752e-06,0.51597660779953,0.7648698687553406,0.7764151096343994,0.739130437374115,0.8159703016281128,0.5616705417633057,0.7585139274597168,0.6940509676933289
7,0.7671809196472168,0.85710608959198,9.999999747378752e-06,0.5061191916465759,0.7626168131828308,0.7698113322257996,0.7377278804779053,0.8120790123939514,0.571182131767273,0.7455621361732483,0.7138810157775879
8,0.8003740310668945,0.8735896944999695,9.999999747378752e-06,0.4804045557975769,0.7927844524383545,0.8084905743598938,0.7180925607681274,0.810410737991333,0.6217124462127686,0.8015872836112976,0.5722379684448242
9,0.799439013004303,0.8782787322998047,9.999999747378752e-06,0.4754278063774109,0.7929433584213257,0.8056603670120239,0.739130437374115,0.8153958320617676,0.5964008569717407,0.7774086594581604,0.6628895401954651
10,0.7985039949417114,0.8888733386993408,1.9999999949504854e-06,0.45433399081230164,0.7975401878356934,0.7952830195426941,0.7349228858947754,0.8125314712524414,0.5931082367897034,0.7562500238418579,0.6855524182319641
11,0.8083216547966003,0.8968292474746704,1.9999999949504854e-06,0.44226667284965515,0.8077651262283325,0.8047170042991638,0.722300112247467,0.8097891211509705,0.6072090864181519,0.76450514793396,0.6345608830451965
